QA	SEEDEKULGLA JA AINEVAHETUS	ALIMENTARY TRACT AND METABOLISM
QI07AO	Parasiitide vastased inaktiveeritud vaktsiinid	Inactivated parasitic vaccines
QI07AO01	Leishmania	Leishmania
QI07AO80	Babesia canis ja Babesia rossi antigeen	Antigen from Babesia canis and Babesia rossi
QI07B	REBANE	FOX
QI07BD	Elusviirusvaktsiinid	Live viral vaccines
QI07BD80	marutaudi elusviirusvaktsiin	Live Rabies virus vaccine
QI08	IMMUNOLOOGILISED AINED JÄNESLASTELE	IMMUNOLOGICALS FOR LEPORIDAE
QI08A	KÜÜLIK	RABBIT
QI08AA	Inaktiveeritud viirusvaktsiinid	Inactivated viral vaccines
QI08AA01	küülikute hemorraagilise haiguse viirus	Rabbit haemorrhagic disease virus
QI08AB	Inaktiveeritud baktervaktsiinid (k.a mükoplasma,toks	Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia )
QI08AB02	Pasteurella vaktsiin	Pasteurella vaccine
QI08AD	Elusviirusvaktsiinid	Live viral vaccines
QI08AD02	küülikute müksomatoosi viirusvaktsiin	Myxomatosis virus vaccine
QI08AH	Elus- ja inaktiveeritud viirusvaktsiinid	Live and inactivated viral vaccines
QI08AH01	küülikute müksomatoosi viirusvaktsiin+küülikute hemorraagilise haiguse viirus	Myxomatosis virus vaccine+Rabbit haemorrhagic disease virus
QI09	IMMUNOLOOGILISED AINED SIGALASTELE	IMMUNOLOGICALS FOR SUIDAE
QI09A	SIGA	PIG
QI09AA	Inaktiveeritud viirusvaktsiinid	Inactivated viral vaccines
QI09AA02	sigade inaktiveeritud parvoviirusvaktsiin	Inactivated Porcine parvovirus vaccine
QI09AA03	gripi koguviirus, inaktiveeritud	Influenza, inactivated, whole virus
QI09AA06	klassikaline sigade katku viirusvaktsiin	Classical Swine fever virus vaccine
QI09AA07	sigade tsirkoviirusvaktsiin	Porcine circovirus vaccine
QI09AA80	sigade reproduktiiv-respiratoorse sündroomi viirus	porcine reproductive and respiratory syndrome (PRRS) virus
QI09AB	Inaktiveeritud baktervaktsiinid (k.a mükoplasma, toksoid ja klamüüdia)	Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia )
QI09AB02	Escherichia vaktsiin	Escherichia vaccine
QI09AB03	Erysipelothrix inaktiveeritud vaktsiin	Inactivated Erysipelothrix vaccine
QI09AB04	Bordetella vaktsiin+Pasteurella vaktsiin	Bordetella vaccine+Pasteurella vaccine
QI09AB06	Pasteurella vaktsiin+Actinobacillus/Haemophilus vaktsiin	Pasteurella vaccine+Actinobacillus/Haemophilus vaccine
QI09AB07	Actinobacillus/Haemophilus vaktsiin	Actinobacillus/Haemophilus vaccine
QI09AB08	Escherichia vaktsiin+Clostridium	Escherichia vaccine+Clostridium
QI09AB13	mükoplasma	mycoplasma
QI09AB14	Salmonella vaktsiin	Salmonella vaccine
QI09AB17	mükoplasma+haemophilus parasuis	mycoplasma+Haemophilus parasuis
QI09AB80	Pasteurella multocida+Salmonella choleraesuis	Pasteurella multocida+Salmonella choleraesuis
QI09AB81	Pasteurella multocida+Salmonella choleraesuis+Streptococcus pneumoniae+Escherichia vaktsiin	Pasteurella multocida+Salmonella choleraesuis+Streptococcus pneumoniae+Escherichia vaccine
QI09AB82	Pasteurella multocida+Salmonella choleraesuis+Streptococcus pneumoniae	Pasteurella multocida+Salmonella choleraesuis+Streptococcus pneumoniae
QI09AB83	Leptospira canicola+Leptospira grippotyphosa+Leptospira hardjo+Leptospira icterohaemorrhagiae+Leptospira pomona	Leptospira canicola+Leptospira grippotyphosa+Leptospira hardjo+Leptospira icterohaemorrhagiae+Leptospira pomona
QI09AB84	Actinobacillus pleuropneumoniae	Actinobacillus pleuropneumoniae
QI09AB85	Clostridium+Clostridium novyi+E. coli  K88 ab+E. coli K88 ac+E. coli K99+E. coli 987P+E. coli LT enterotoxoid	Clostridium+Clostridium novyi+E. coli  K88 ab+E. coli K88 ac+E. coli K99+E. coli 987P+E. coli LT enterotoxoid
QI09AB86	Clostridium+Clostridium novyi+clostridium septicum+Clostridium chauvoei+clostridium sordellii	Clostridium+Clostridium novyi+Clostridium septicum+Clostridium chauvoei+Clostridium sordellii
QI09AB87	Actinobacillus pleuropneumoniae	Actinobacillus pleuropneumoniae
QI09AB88	Actinobacillus/Haemophilus vaktsiin+Pasteurella vaktsiin+Bordetella inaktiveeritud vaktsiin	Actinobacillus/Haemophilus vaccine+Pasteurella vaccine+Inactivated Bordetella vaccine
QI09AD	Elusviirusvaktsiinid	Live viral vaccines
QI09AD01	Aujeszky haiguse viirusvaktsiin	Aujeszky's disease virus vaccine
QI09AD03	sigade reproduktiiv-respiratoorse sündroomi viirus	porcine reproductive and respiratory syndrome (PRRS) virus
QI09AD04	klassikaline sigade katku viirusvaktsiin	Classical Swine fever virus vaccine
QI09AE	Elusbaktervaktsiinid	Live bacterial vaccines
QI09AE04	Lawsonia intracellularis	Lawsonia intracellularis
QI09AE80		
QI09AL	Inaktiveeritud viirus- ja baktervaktsiinid	Inactivated viral and inactivated bacterial vaccines
QI09AL01	Erysipelothrix inaktiveeritud vaktsiin+sigade inaktiveeritud parvoviirusvaktsiin	Inactivated Erysipelothrix vaccine+Inactivated Porcine parvovirus vaccine
QI09AL07	sigade inaktiveeritud parvoviirusvaktsiin+Erysipelothrix inaktiveeritud vaktsiin+Leptospira inaktiveeritud vaktsiin	Inactivated Porcine parvovirus vaccine+Inactivated Erysipelothrix vaccine+Inactivated Leptospira vaccine
QI09AL51	sigade inaktiveeritud parvoviirusvaktsiin+Leptospira inaktiveeritud vaktsiin	Inactivated Porcine parvovirus vaccine+Inactivated Leptospira vaccine
QI09AL80	sigade surmatud parvoviirus+Erysiopelothrix rhusiopathiae inakt. viirus+inaktiveeritud Leptospira bratislava+Leptospira vaktsiin+inaktiveeritud Leptospira grippotyphosa+inaktiveeritud Leptospira hardjo+inaktiveeritud Leptospira icterohaemorrhagiae+inaktiveeritud Leptospira pomona	Killed porcine parvovirus+Erysiopelothrix rhusiopathiae inac. virus+Inac. Leptospira bratislava+Leptospira vaccine+inaktiveeritud Leptospira grippotyphosa+Inac. Leptospira hardjo+inaktiveeritud Leptospira icterohaemorrhagiae+inaktiveeritud Leptospira pomona
QI09AL81	sigade inaktiveeritud parvoviirusvaktsiin+Erysipelothrix inaktiveeritud vaktsiin+Leptospira vaktsiin+inaktiveeritud Leptospira grippotyphosa+inaktiveeritud Leptospira hardjo+inaktiveeritud Leptospira icterohaemorrhagiae+inaktiveeritud Leptospira pomona	Inactivated Porcine parvovirus vaccine+Inactivated Erysipelothrix vaccine+Leptospira vaccine+inaktiveeritud Leptospira grippotyphosa+Inac. Leptospira hardjo+inaktiveeritud Leptospira icterohaemorrhagiae+inaktiveeritud Leptospira pomona
QI09AM	Antiseerumid, immunoglobuliini preparaadid ja antitoksiinid	Antisera, immunoglobulin preparations, and antitoxins
QI09AM03	Erysipelothrix antiseerum	Erysipelothrix antiserum
QI09AQ	Seenevastased inaktiveeritud vaktsiinid	Inactivated fungal vaccines
QI09AQ01	sigade aktinomükoosse pleuropneumoonia inakt. vakt	Inact. Porcine actinomycosis pleuropneumonia vacci
QI09AV	Teised inaktiveeritud vaktsiinid	Other inactivated vaccines
QI09AV81	Bordetella vaktsiin+Pasteurella vaktsiin+mükoplasma	Bordetella vaccine+Pasteurella vaccine+mycoplasma
QI09AV82	sigade inaktiveeritud parvoviirusvaktsiin+Erysipelothrix inaktiveeritud vaktsiin+Leptospira inaktiveeritud vaktsiin	Inactivated Porcine parvovirus vaccine+Inactivated Erysipelothrix vaccine+Inactivated Leptospira vaccine
QI09AX	Teised immunoloogilised ained	Other immunologicals
QI09AX82	Bordetella vaktsiin+Pasteurella multocida	Bordetella vaccine+Pasteurella multocida
QI10	IMMUNOLOOGILISED AINED KALADELE	IMMUNOLOGICALS FOR PISCES
QI10A	ATLANDI LÕHE	ATLANTIC SALMON
QI10AA	Inaktiveeritud viirusvaktsiinid	Inactivated viral vaccines
QI10AB	Inaktiveeritud baktervaktsiinid (k.a mükoplasma, toksoid ja klamüüdia)	Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia)
QI10AB01	Aeromonas vaktsiin	Aeromonas vaccine
QI10AB02	Aeromonas vaktsiin+Vibrio vaktsiin	Aeromonas vaccine+Vibrio vaccine
QI10B	VIKERFORELL	RAINBOW TROUT
QI10BB	Inaktiveeritud baktervaktsiinid (k.a mükoplasma, toksoid ja klamüüdia)	Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia)
QI10BB02	Aeromonas vaktsiin+Vibrio vaktsiin	Aeromonas vaccine+Vibrio vaccine
QI20	IMMUNOLOOGILISED AINED TEISTELE LIIKIDELE	IMMUNOLOGICALS FOR OTHER SPECIES
QI20A	PUNAHIRV	RED DEER
QI20AA	Inaktiveeritud viirusvaktsiinid	Inactivated viral vaccines
QI20AA81	inaktiveeritud vaktsiin - marutaud	inaktiveeritud vaktsiin - marutaud
QI20AA82	inaktiveeritud vaktsiin - marutaud	inaktiveeritud vaktsiin - marutaud
QI20AA83	inaktiveeritud vaktsiin - marutaud	inaktiveeritud vaktsiin - marutaud
QI20AA84	inaktiveeritud vaktsiin - marutaud	inaktiveeritud vaktsiin - marutaud
QI20C	NAARITS	MINK
QI20CB	Inaktiveeritud baktervaktsiinid (k.a mükoplasma, toksoid ja klamüüdia)	Inactivated bacterial vaccines (including mycoplasma, toxoid and chlamydia)
QI20CB80	inaktiveeritud Pseudomonas aeruginosa+Clostridium botulinum tüüp C toksoid	Inactivated Pseudomonas aeruginosa+Clostridium botulinum tüüp C toksoid
QI20CD	Elusviirusvaktsiinid	Live viral vaccines
QI20CD01	naaritsate katku viirusvaktsiin	Mink distemper virus vaccine
QI20CD02	elusvaktsiin - naaritsate katk ja viirusenteriit	elusvaktsiin - naaritsate katk ja viirusenteriit
QI20CH	Elus- ja inaktiveeritud viirusvaktsiinid	Live and inactivated viral vaccines
QI20CH80	naaritsate katku viirusvaktsiin+naaritsate enteriidi inaktiveeritud viirus	Mink distemper virus vaccine+Mink enteritis virus, inactivated
QI20CJ	Elus- ja inaktiveeritud bakter- ja viirusvaktsiinid	Live viral and inactivated viral and bacterial vaccines
QI20CJ80	naaritsate katku viirusvaktsiin+naaritsate enteriidi viirus-/parvoviirusvaktsiin+botuliini toksiin	Mink distemper virus vaccine+Mink enteritisvirus vaccine/parvovirus vaccine+Botulinum toxin
QI20CL	Inaktiveeritud viirus- ja baktervaktsiinid	Inactivated viral and inactivated bacterial vaccines
QI20CL01	Clostridium inaktiveeritud vaktsiin+naaritsate enteriidi viirus-/parvoviirusvaktsiin+Pseudomonas inaktiveeritud vaktsiin	Inactivated Clostridium vaccine+Mink enteritisvirus vaccine/parvovirus vaccine+Inactivated Pseudomonas vaccine
QI20CQ	Seenevastased inaktiveeritud vaktsiinid	Inactivated fungal vaccines
QI20CQ81	trihhofüütia elusvaktsiin	Live Trichofytia vaccine
QI20X	TEISED	OTHERS
QI20XX	Teised loomaliigid, kombinatsioonid	Combinations, other species
QI20XX81	Clostridium perfringens tüüp C bakteriin	Clostridium perfringens type C bacterin
QI20XX82	Pasteurella haemolytica vaktsiin+Pasteurella multocida	Pasteurella haemolytica vaccine+Pasteurella multocida
QI20XX83	inaktiveeritud salmonelloosi vaktsiin	Inactivated Salmonella vaccine
QI20XX84	inaktiveeritud salmonelloosi vaktsiin+inaktiveeritud kolibakterioosi vaktsiin	Inactivated Salmonella vaccine+Inactivated Escherichia vaccine
QI20XX85	Trichophyton mentagrophytes	Trichophyton mentagrophytes
QI20XX86	marutaudi inaktiveeritud viirusvaktsiin	Inactivated Rabies virus vaccine
QI20XX87	inaktiveeritud mikrosporoosi vaktsiin	Inactivated Microsporum vaccine
QI20XX88	Erysipelothrix inaktiveeritud vaktsiin	Inactivated Erysipelothrix vaccine
QJ	INFEKTSIOONIVASTASED AINED SÜSTEEMSEKS KASUTAMISEKS	ANTIINFECTIVES FOR SYSTEMIC USE
QJ01	ANTIBAKTERIAALSED AINED SÜSTEEMSEKS KASUTAMISEKS	ANTIBACTERIALS FOR SYSTEMIC USE
QJ01A	TETRATSÜKLIINID	TETRACYCLINES
QJ01AA	Tetratsükliinid	Tetracyclines
QJ01AA02	doksütsükliin	Doxycycline
QJ01AA03	kloortetratsükliin	Chlortetracycline
QJ01AA06	oksütetratsükliin	Oxytetracycline
QJ01AA07	tetratsükliin	Tetracycline
QJ01AA81	oksütetratsükliin+dimetridasool	Oxytetracycline+Dimetridazole
QJ01B	AMFENIKOOLID	AMPHENICOLS
QJ01BA	Amfenikoolid	Amphenicols
QJ01BA01	klooramfenikool	Chloramphenicol
QJ01BA02	tiamfenikool	Thiamphenicol
QJ01BA80	florfenikool+fluniksiin	Florfenicol+Flunixin
QJ01BA90	florfenikool	Florfenicol
QJ01C	BEETALAKTAAMANTIBIOOTIKUMID, PENITSILLIINID	BETA-LACTAM ANTIBACTERIALS, PENICILLINS
QJ01CA	Laia toimespektriga penitsilliinid	Penicillins with extended spectrum
QJ01CA01	ampitsilliin	Ampicillin
QJ01CA04	amoksitsilliin	Amoxicillin
QJ01CA81	ampitsilliin+kolistiin	Ampicillin+Colistin
QJ01CE	Beetalaktamaastundlikud penitsilliinid	Beta-lactamase sensitive penicillins
QJ01CE01	bensüülpenitsilliin	Benzylpenicillin
QJ01CE09	prokaiinbensüülpenitsilliin	Procaine benzylpenicillin
QJ01CE81	prokaiinbensüülpenitsilliin+bensatiinbensüülpenitsilliin	Procaine benzylpenicillin+Benzathine benzylpenicillin
QJ01CR	Penitsilliinide kombinatsioonid, k.a beetalaktamaasi inhibiitorid	Combinations of penicillins, incl. beta-lactamase inhibitors
QJ01CR80	amoksitsilliin+klavulaanhape	Amoxicillin+Clavulanic acid
QJ01D	TEISED BEETALAKTAAMANTIBIOOTIKUMID	OTHER BETA-LACTAM ANTIBACTERIALS
QJ01DB	Esimese põlvkonna tsefalosporiinid	First-generation cephalosporins
QJ01DB01	tsefaleksiin	Cefalexin
QJ01DB05	tsefadroksiil	Cefadroxil
QJ01DD	Kolmanda põlvkonna tsefalosporiinid	Third-generation cephalosporins
QJ01DD80	tseftiofuur+ketoprofeen	Ceftiofur+Ketoprofen
QJ01DD90	tseftiofuur	Ceftiofur
QJ01DD91	tsefovetsiin	Cefovecin
QJ01DE	Neljanda põlvkonna tsefalosporiinid	Fourth-generation cephalosporins
QJ01DE90	tsefkvinoom	Cefquinome
QJ01DI	Teised tsefalosporiinid ja peneemid	Other cephalosporins and penems
QJ01E	SULFOONAMIIDID JA TRIMETOPRIM	SULFONAMIDES AND TRIMETHOPRIM
QJ01EQ	Sulfoonamiidid	Sulfonamides
QJ01EQ10	sulfadiasiin	Sulfadiazine
QJ01EQ81	sulfadimetoksiin+sulfadimidiin+sulfatiasool	Sulfadimethoxine+Sulfadimidine+Sulfathiazole
QJ01EW	Sulfoonamiidide ja trimetoprimi kombinatsioonid	Combinations of sulfonamides and trimethoprim, incl. derivatives
QJ01EW03	sulfadimidiin+trimetoprim	Sulfadimidine+Trimethoprim
QJ01EW10	sulfadiasiin+trimetoprim	Sulfadiazine+Trimethoprim
QJ01EW11	sulfametoksasool+trimetoprim	Sulfamethoxazole+Trimethoprim
QJ01EW12	sulfakloorpüridasiin+trimetoprim	Sulfachlorpyridazine+Trimethoprim
QJ01EW13	sulfadoksiin+trimetoprim	Sulfadoxine+Trimethoprim
QJ01EW17	sulfamonometoksiin+trimetoprim	Sulfamonomethoxine+Trimethoprim
QJ01EW18	sulfamerasiin+trimetoprim	Sulfamerazine+Trimethoprim
QJ01EW82	sulfamerasiin+sulfatiasool+sulfadiasiin+trimetoprim	Sulfamerazine+Sulfathiazole+Sulfadiazine+Trimethoprim
QJ01F	MAKROLIIDID, LINKOOSAMIIDID JA STREPTOGRAMIINID	MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS
QJ01FA	Makroliidid	Macrolides
QJ01FA01	erütromütsiin	Erythromycin
QJ01FA02	spiramütsiin	Spiramycin
QJ01FA90	tülosiin	Tylosin
QJ01FA91	tilmikosiin	Tilmicosin
QJ01FA92	atsetüülisovalerüültülosiin	Acetylisovaleryltylosin
QJ01FA94	tulatromütsiin	Tulathromycin
QJ01FA95	gamitromütsiin	Gamithromycin
QJ01FA96	tildipirosiin	Tildipirosin
QJ01FF	Linkoosamiidid	Lincosamides
QJ01FF01	klindamütsiin	Clindamycin
QJ01FF02	linkomütsiin	Lincomycin
QJ01FF82	linkomütsiin+gentamütsiin	Lincomycin+Gentamicin
QJ01G	AMINOGLÜKOSIIDID	AMINOGLYCOSIDE ANTIBACTERIALS
QJ01GB	Teised aminoglükosiidid	Other aminoglycosides
QJ01GB03	gentamütsiin	Gentamicin
QJ01GB05	neomütsiin	Neomycin
QJ01GB51	neomütsiin+pektiin+kaoliin	Neomycin+Pectin+Kaolin
QJ01M	KINOLOONID	QUINOLONE ANTIBACTERIALS
QJ01MA	Fluorokinoloonid	Fluoroquinolones
QJ01MA06	norfloksatsiin	Norfloxacin
QJ01MA90	enrofloksatsiin	Enrofloxacin
QJ01MA92	danofloksatsiin	Danofloxacin
QJ01MA93	marbofloksatsiin	Marbofloxacin
QJ01MA94	difloksatsiin	Difloxacin
QJ01MA96	ibafloksatsiin	Ibafloxacin
QJ01MA97	pradofloksatsiin	Pradofloxacin
QJ01MB	Teised kinoloonid	Other quinolones
QJ01MB05	oksoliinhape	Oxolinic acid
QJ01MB07	flumekviin	Flumequine
QJ01R	ANTIBAKTERIAALSETE AINETE KOMBINATSIOONID	COMBINATIONS OF ANTIBACTERIALS
QJ01RA	Antibakteriaalsete ainete kombinatsioonid	Combinations of antibacterials
QJ01RA61	tetratsükliin+erütromütsiin	Tetracycline+Erythromycin
QJ01RA62	kolistiin+spektinomütsiin	Colistin+Spectinomycin
QJ01RA67	kolistiin+trimetoprim	Colistin+Trimethoprim
QJ01RA68	neomütsiin+hüostsiin	Neomycin+Hyoscine
QJ01RA69	tülosiin+kolistiin	Tylosin+Colistin
QJ01RA73	gentamütsiin+sulfadimidiin+trimetoprim	Gentamicin+Sulfadimidine+Trimethoprim
QJ01RA74	dimetridasool+klooramfenikool+oksütetratsükliin	Dimetridazole+Chloramphenicol+Oxytetracycline
QJ01RA75	prokaiinbensüülpenitsilliin+dihüdrostreptomütsiin	Procaine benzylpenicillin+Dihydrostreptomycin
QJ01RA76	sulfadimidiin+prokaiinbensüülpenitsilliin	Sulfadimidine+Procaine benzylpenicillin
QJ01RA77	gentamütsiin+trimetoprim+sulfadimetoksiin	Gentamicin+Trimethoprim+Sulfadimethoxine
QJ01RA78	erütromütsiin+trimetoprim+sulfadimetoksiin	Erythromycin+Trimethoprim+Sulfadimethoxine
QJ01RA79	amoksitsilliin+gentamütsiin	Amoxicillin+Gentamicin
QJ01RA80	prokaiinbensüülpenitsilliin+dihüdrostreptomütsiin+bensatiinbensüülpenitsilliin	Procaine benzylpenicillin+Dihydrostreptomycin+Benzathine benzylpenicillin
QJ01RA81	prokaiinbensüülpenitsilliin	Procaine benzylpenicillin
QJ01RA82	enrofloksatsiin+kolistiin	Enrofloxacin+Colistin
QJ01RA83	sulfadiasiin+neomütsiin	Sulfadiazine+Neomycin
QJ01RA84	amoksitsilliin+trimetoprim	Amoxicillin+Trimethoprim
QJ01RA85	amoksitsilliin+kolistiin	Amoxicillin+Colistin
QJ01RA86	bensüülpenitsilliin+neomütsiin	Benzylpenicillin+Neomycin
QJ01RA87	linkomütsiin+spektinomütsiin	Lincomycin+Spectinomycin
QJ01RA88	spiramütsiin+metronidasool	Spiramycin+Metronidazole 
QJ01RA89	erütromütsiin+trimetoprim	Erythromycin+Trimethoprim
QJ01RA90	doksütsükliin+tülosiin	Doxycycline+Tylosin
QJ01RA91	doksütsükliin+trimetoprim	Doxycycline+Trimethoprim
QJ01RV	Antibakteriaalsete ainete kombinatsioonid teiste ainetega	Combinations of antibacterials and other substances
QJ01RV71	prokaiinbensüülpenitsilliin+prednisoloon+neomütsiin+dihüdrostreptomütsiin	Procaine benzylpenicillin+Prednisolone+Neomycin+Dihydrostreptomycin
QJ01RV72	sulfadimetoksiin+fenüülbutasoon+naatriumsalitsülaat	Sulfadimethoxine+Phenylbutazone+Sodium salicylate
QJ01RV73	linkomütsiin+deksametasoon+neomütsiin	Lincomycin+Dexamethasone+Neomycin
QJ01RV74	prednisoloon+neomütsiin	Prednisolone+Neomycin
QJ01RV80	sulfadimidiin+neomütsiin+sulfadiasiin+streptomütsiin+sulfaguanidiin+kaoliin+naatriumkloriid+kaltsiumglükonaat+magneesiumsulfaat+kaaliumkloriid+glütsiin+hüostsiinvesinikbromiid+pektiin	Sulfadimidine+Neomycin+Sulfadiazine+Streptomycin+Sulfaguanidine+Kaolin+Sodium chloride+Calcium gluconate+Magnesium sulphate+Potassium chloride+Glycine+Hyoscine hydrobromide+Pectin
QJ01RV85	sulfametoksasool+erütromütsiin+trimetasidiin+kloorfenamiin+antipüriin+teofülliin	Sulfamethoxazole+Erythromycin+Trimetazidine+Chlorphenamine+Antipyrine+Theophylline
QJ01RV86	erütromütsiin+neomütsiin+sulfadimidiin+trimetoprim+broomheksiin	Erythromycin+Neomycin+Sulfadimidine+Trimethoprim+Bromhexine
QJ01RV87	gentamütsiin+deksametasoon+sulfadimidiin+trimetoprim	Gentamicin+Dexamethasone+Sulfadimidine+Trimethoprim
QJ01RV88	prednisoloon+lidokaiin+klooramfenikool+oksütetratsükliin	Prednisolone+Lidocaine+Chloramphenicol+Oxytetracycline
QJ01RV89	neomütsiin+kaaliumkloriid+naatriumkloriid+kaaliumdivesinikfosfaat+naatriumvesinikkarbonaat	Neomycin+Potassium chloride+Sodium chloride+Potassium dihydrogen phosphate+Sodium hydrogen carbonate
QJ01X	TEISED ANTIBAKTERIAALSED AINED	OTHER ANTIBACTERIALS
QJ01XB	Polümüksiinid	Polymyxins
QJ01XB01	kolistiin	Colistin
QJ01XD	Imidasooli derivaadid	Imidazole dervatives
QJ01XD01	metronidasool	Metronidazole 
QJ01XQ	Pleuromutiliinid	Pleuromutilins
QJ01XQ01	tiamuliin	Tiamulin
QJ01XQ02	valnemuliin	Valnemulin
QJ01XX	Teised antibakteriaalsed ained	Other antibacterials
QJ01XX81	bambermütsiin	Bambermycin
QJ02	SEENEVASTASED AINED SÜSTEEMSEKS KASUTAMISEKS	ANTIMYCOTICS FOR SYSTEMIC USE
QJ02A	SEENEVASTASED AINED SÜSTEEMSEKS KASUTAMISEKS	ANTIMYCOTICS FOR SYSTEMIC USE
QJ02AC	Triasooli derivaadid	Triazole derivatives
QJ02AC02	itrakonasool	Itraconazole
QJ02AX	Teised seenevastased ained süsteemseks kasutamiseks	Other antimycotics for systemic use
QJ51	ANTIBAKTERIAALSED AINED INTRAMAMMAARSEKS KASUTAMISEKS	ANTIBACTERIALS FOR INTRAMAMMARY USE
QJ51C	BEETALAKTAAMANTIBIOOTIKUMID, PENITSILLIINID INTRAMAMMAARSEKS KASUTAMISEKS	BETA-LACTAM ANTIBACTERIALS, PENICILLINS, FOR INTRAMAMMARY USE
QJ51CA	Laia toimespektriga penitsilliinid	Penicillins with extended spectrum
QJ51CA81	hetatsilliin	Hetacillin
QJ51CE	Beetalaktamaastundlikud penitsilliinid	Beta-lactamase sensitive penicillins
QJ51CE01	bensüülpenitsilliin	Benzylpenicillin
QJ51CE09	prokaiinbensüülpenitsilliin	Procaine benzylpenicillin
QJ51CF	Beetalaktamaasresistentsed penitsilliinid	Beta-lactamase resistant penicillins
QJ51CF02	kloksatsilliin	Cloxacillin
QJ51CR	Penitsilliinide ja/või beetalaktamaasi inhibiitorite kombinatsioonid	Combinations of penicillins and/or beta-lactamase inhibitors
QJ51CR02	amoksitsilliin+klavulaanhape	Amoxicillin+Clavulanic acid
QJ51D	TEISED BEETALAKTAAMANTIBIOOTIKUMID INTRAMAMMAARSEKS KASUTAMISEKS	OTHER BETA-LACTAM ANTIBACTERIALS FOR INTRAMAMMARY USE
QJ51DB	Esimese põlvkonna tsefalosporiinid	First-generation cephalosporins
QJ51DB01	tsefaleksiin	Cefalexin
QJ51DB08	tsefapiriin	Cefapirin
QJ51DB10	tsefatsetriil	Cefacetrile
QJ51DB90	tsefaloonium	Cefalonium
QJ51DE	Neljanda põlvkonna tsefalosporiinid	Fourth-generation cephalosporins
QJ51DE90	tsefkvinoom	Cefquinome
QJ51E	SULFOONAMIIDID JA TRIMETOPRIM INTRAMAMMAARSEKS KASUTAMISEKS	SULFONAMIDES AND TRIMETHOPRIM FOR INTAMAMMARY USE
QJ51EA	Trimetoprim ja selle derivaadid	Trimethoprim and derivatives
QJ51EA01	trimetoprim	Trimethoprim
QJ51F	MAKROLIIDID JA LINKOOSAMIIDID INTRAMAMMAARSEKS KASUTAMISEKS	MACROLIDES AND LINCOSAMIDES FOR INTRAMAMMARY USE
QJ51FF	Linkoosamiidid	Lincosamides
QJ51FF90	pirlimütsiin	Pirlimycin
QJ51G	AMINOGLÜKOSIIDID INTRAMAMMAARSEKS KASUTAMISEKS	AMINOGLYCOSIDE ANTIBACTERIALS FOR INTRAMAMMARY USE
QJ51GB	Teised aminoglükosiidid	Other aminoglycosides
QJ51GB03	gentamütsiin	Gentamicin
QJ51R	ANTIBAKTERIAALSETE AINETE KOMBINATSIOONID	COMBINATIONS OF ANTIBACTERIALS
QJ51RC	Beetalaktaamantibiootikumide, penitsilliinide kombinatsioonid teiste antibakteriaalsete ainetega	Beta-lactam antibacterials, penicillin, combinations with other antibacterials
QJ51RC20	ampitsilliin+kloksatsilliin	Ampicillin+Cloxacillin
QJ51RC71	prokaiinbensüülpenitsilliin+dihüdrostreptomütsiin	Procaine benzylpenicillin+Dihydrostreptomycin
QJ51RC72	amoksitsilliin+neomütsiin	Amoxicillin+Neomycin
QJ51RC73	prokaiinbensüülpenitsilliin+neomütsiin	Procaine benzylpenicillin+Neomycin
QJ51RC74	prokaiinbensüülpenitsilliin+dihüdrostreptomütsiin+naftsilliin	Procaine benzylpenicillin+Dihydrostreptomycin+Nafcillin
QJ51RC80	bensüülpenitsilliin+dihüdrostreptomütsiin+naftsilliin	Benzylpenicillin+Dihydrostreptomycin+Nafcillin
QJ51RC81	prokaiinbensüülpenitsilliin+novobiotsiin	Procaine benzylpenicillin+Novobiocin
QJ51RC82	bensatiinbensüülpenitsilliin+dihüdrostreptomütsiin	Benzathine benzylpenicillin+Dihydrostreptomycin
QJ51RC83	kloksatsilliin+neomütsiin	Cloxacillin+Neomycin
QJ51RC84	kloksatsilliin+sulfadimidiin+trimetoprim	Cloxacillin+Sulfadimidine+Trimethoprim
QJ51RC85	ampitsilliin+kloksatsilliin	Ampicillin+Cloxacillin
QJ51RC86	kloksatsilliin	Cloxacillin
QJ51RC88	penetamaathüdrojodiid+framütsetiin+benetamiinpenitsilliin	Penethamate hydroiodide+Framycetin+Benethamine penicillin
QJ51RC90	prokaiinbensüülpenitsilliin+gentamütsiin	Procaine benzylpenicillin+Gentamicin
QJ51RD	Teiste beetalaktaamantibiootikumide kombinatsioonid teiste antibakteriaalsete ainetega	Other beta-lactam antibacterials, combinations with other antibacterials
QJ51RD80	tsefaleksiin+kanamütsiin	Cefalexin+Kanamycin
QJ51RD81	tsefaleksiin+dihüdrostreptomütsiin	Cefalexin+Dihydrostreptomycin
QJ51RD82	tsefaleksiin+gentamütsiin	Cefalexin+Gentamicin
QJ51RD83	tsefapiriin	Cefapirin
QJ51RD84	tsefatsetriil+rifaksimiin	Cefacetrile+Rifaximin
QJ51RF	Makroliidide ja linkoosamiidide kombinatsioonid teiste antibakteriaalsete ainetega	Macrolides and lincosamides, combinations with other antibacterials
QJ51RF82	spiramütsiin+neomütsiin	Spiramycin+Neomycin
