A	SEEDEKULGLA JA AINEVAHETUS	ALIMENTARY TRACT AND METABOLISM
A10BB07	glipisiid	Glipizide
A10BB08	glikvidoon	Gliquidone
A10BB09	gliklasiid	Gliclazide
A10BB10	metaheksamiid	Metahexamide
A10BB11	glisoksepiid	Glisoxepide
A10BB12	glimepiriid	Glimepiride
A10BB31	atsetoheksamiid	Acetohexamide
A10BC	Heterotsüklilised sulfoonamiidid	Sulfonamides (heterocyclic)
A10BC01	naatriumglümidiin	Glymidine sodium
A10BD	Suukaudsete vere glükoosisisaldust vähendavate ainete kombinatsioonid	Combinations of oral blood glucose lowering drugs
A10BD03	metformiin+rosiglitasoon	Metformin+Rosiglitazone
A10BD04	glimepiriid+rosiglitasoon	Glimepiride+Rosiglitazone
A10BD05	metformiin+pioglitasoon	Metformin+Pioglitazone
A10BD06	glimepiriid+pioglitasoon	Glimepiride+Pioglitazone
A10BD07	metformiin+sitagliptiin	Metformin+Sitagliptin
A10BD08	metformiin+vildagliptiin	Metformin+Vildagliptin
A10BD10	metformiin+saksagliptiin	Metformin+Saxagliptin
A10BD11	metformiin+linagliptiin	Metformin+Linagliptin
A10BD80	metformiin+glibenklamiid	Metformin+Glibenclamide
A10BF	Alfaglükosidaasi inhibiitorid	Alpha glucosidase inhibitors
A10BF01	akarboos	Acarbose
A10BF02	miglitool	Miglitol
A10BG	Tiasolidiindioonid	Thiazolidinediones
A10BG02	rosiglitasoon	Rosiglitazone
A10BG03	pioglitasoon	Pioglitazone
A10BH	Dipeptüülpeptidaas 4(DPP-4) inhibiitorid	Dipeptyl peptidase 4 (DPP-4) inhibitors
A10BH01	sitagliptiin	Sitagliptin
A10BH02	vildagliptiin	Vildagliptin
A10BH03	saksagliptiin	Saxagliptin
A10BH05	linagliptiin	Linagliptin
A10BX	Teised vere glükoosisisaldust vähendavad ained, v.a insuliinid	Other blood glucose lowering drugs, excl. insulins
A10BX02	repagliniid	Repaglinide
A10BX03	nategliniid	Nateglinide
A10BX04	eksenatiid	Exenatide
A10BX06	benfluoreks	Benfluorex
A10BX07	liraglutiid	Liraglutide
A10BX09	dapagliflosiin	Dapagliflozin
A10BX10	liksisenatiid	Lixisenatide
A10X	TEISED DIABEEDI RAVIKS KASUTATAVAD AINED	OTHER DRUGS USED IN DIABETES
A10XA	Aldoosi reduktaasi inhibiitorid	Aldose reductase inhibitors
A11	VITAMIINID	VITAMINS
A11A	POLÜVITAMIINIDE KOMBINATSIOONID	MULTIVITAMINS, COMBINATIONS
A11AA	Polüvitamiinid mineraalainetega	Multivitamins with minerals
A11AA03	multivitamiinid+mineraalained	Multivitamins+Mineral elements
A11AA81	multivitamiinid+mineraalained+koliin	Multivitamins+Mineral elements+Choline
A11AA83	multivitamiinid+kaltsiumhüdrofosfaat	Multivitamins+Calcium hydrophosphate
A11AA84	multivitamiinid+mineraalained+ženšenn	Multivitamins+Mineral elements+Ginseng
A11AA86	multivitamiinid+raud+lääne-südamerohi+viirpuu	Multivitamins+Iron+Motherwort+Hawthorn
A11AB	Teised polüvitamiinide kombinatsioonid	Multivitamins, other combinations
A11B	POLÜVITAMIINID	MULTIVITAMINS, PLAIN
A11BA	Polüvitamiinid	Multivitamins, plain
A11BA80	multivitamiinid	Multivitamins
A11C	VITAMIINID A JA D, NENDE OMAVAHELISED KOMBINATSIOONID	VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO
A11CA	Vitamiin A	Vitamin A, plain
A11CA01	retinool	Retinol
A11CA02	beetakaroteen	Betacarotene
A11CB	Vitamiinide A ja D kombinatsioonid	Vitamin A and D in combination
A11CB80	retinool+ergokaltsiferool	Retinol+Ergocalciferol
A11CB81	retinool+kolekaltsiferool+askorbiinhape	Retinol+Colecalciferol+Ascorbic acid
A11CC	Vitamiin D ja selle analoogid	Vitamin D and analogues
A11CC01	ergokaltsiferool	Ergocalciferol
A11CC02	dihüdrotahhüsterool	Dihydrotachysterol
A11CC03	alfakaltsidool	Alfacalcidol
A11CC04	kaltsitriool	Calcitriol
A11CC05	kolekaltsiferool	Colecalciferol
A11CC06	kaltsifediool	Calcifediol
A11D	VITAMIIN B1 JA SELLE KOMBINATSIOONID VITAMIINIDEGA B6 JA B12	VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12
A11DA	Tiamiin (vitamiin B1)	Vitamin B1, plain
A11DA01	tiamiin	Thiamine
A11DA02	sulbutiamiin	Sulbutiamine
A11DA03	benfotiamiin	Benfotiamine
A11DA81	tsüanokobalamiin	Cyanocobalamin
A11DB	Vitamiin B1 ja selle kombinatsioonid vitamiiniga B6 ja/või vitamiiniga B12	Vitamin B1 in combination with vitamin B6 and/or vitamin B12
A11DB80	tiamiin+püridoksiin	Thiamine+Pyridoxine
A11DB81	benfotiamiin+püridoksiin	Benfotiamine+Pyridoxine
A11DB83	benfotiamiin+tsüanokobalamiin	Benfotiamine+Cyanocobalamin
A11DB84	tiamiin+püridoksiin+tsüanokobalamiin	Thiamine+Pyridoxine+Cyanocobalamin
A11DB85	tiamiin+püridoksiin+tsüanokobalamiin+lidokaiin	Thiamine+Pyridoxine+Cyanocobalamin+Lidocaine
A11E	B-RÜHMA VITAMIINID, K.A KOMBINATSIOONID TEISTE AINETEGA	VITAMIN B-COMPLEX, INCL. COMBINATIONS
A11EA	B-rühma vitamiinid	Vitamin B-complex, plain
A11EA80	tiamiin+nikotiinamiid+riboflaviin+kaltsiumpantotenaat+püridoksiin	Thiamine+Nicotinamide+Riboflavin+Calcium pantothenate+Pyridoxine
A11EA81	tiamiin+nikotiinamiid+riboflaviin+kaltsiumpantotenaat+püridoksiin+tsüanokobalamiin+biotiin	Thiamine+Nicotinamide+Riboflavin+Calcium pantothenate+Pyridoxine+Cyanocobalamin+Biotin
A11EB	B-rühma vitamiinid vitamiiniga C	Vitamin B-complex with vitamin C
A11EC	B-rühma vitamiinid mineraalainetega	Vitamin B-complex with minerals
A11ED	B-rühma vitamiinid anaboolsete steroididega	Vitamin B-complex with anabolic steroids
A11EX	B-rühma vitamiinide teised kombinatsioonid	Vitamin B-complex, other combinations
A11G	ASKORBIINHAPE (VITAMIIN C) JA SELLE KOMBINATSIOONID	ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS
A11GA	Askorbiinhape (vitamiin C)	Ascorbic acid (vitamin C), plain
A11GA01	askorbiinhape	Ascorbic acid
A11GB	Askorbiinhappe (vitamiin C) kombinatsioonid	Ascorbic acid (vitamin C), combinations
A11GB02	askorbiinhape+rutosiid	Ascorbic acid+Rutoside
A11H	TEISTE VITAMIINIDE PREPARAADID	OTHER PLAIN VITAMIN PREPARATIONS
A11HA	Teiste vitamiinide preparaadid	Other plain vitamin preparations
A11HA01	nikotiinamiid	Nicotinamide
A11HA02	püridoksiin	Pyridoxine
A11HA03	tokoferool	Tocopherol
A11HA04	riboflaviin	Riboflavin
A11HA05	biotiin	Biotin
A11HA06	püridoksaalfosfaat	Pyridoxal phosphate
A11HA08	tokofersolaan	Tocofersolan
A11HA30	dekspantenool	Dexpanthenol
A11HA31	kaltsiumpantotenaat	Calcium pantothenate
A11J	TEISTE VITAMIINIDE KOMBINATSIOONID	OTHER VITAMIN PRODUCTS, COMBINATIONS
A11JA	Vitamiinide kombinatsioonid	Combinations of vitamins
A11JA00	vitamiinid	Vitamins
A11JA80	vitamiinide kombinatsioonid	Combinations of vitamins
A11JA81	retinool+tokoferool	Retinol+Tocopherol
A11JB	Vitamiinid mineraalainetega	Vitamins with minerals
A11JB81	püridoksiin+magneesium	Pyridoxine+Magnesium
A11JB82	tiamiin+riboflaviin+püridoksiin+tsüanokobalamiin+askorbiinhape+biotiin+nikotiinamiid+kaltsiumpantotenaat+kaltsium+magneesium	Thiamine+Riboflavin+Pyridoxine+Cyanocobalamin+Ascorbic acid+Biotin+Nicotinamide+Calcium pantothenate+Calcium+Magnesium
A11JB83	tiamiin+askorbiinhape+riboflaviin+nikotiinamiid+kaltsiumpantotenaat+püridoksiin+tsüanokobalamiin+foolhape+biotiin+kaltsium+magneesium+tsink	Thiamine+Ascorbic acid+Riboflavin+Nicotinamide+Calcium pantothenate+Pyridoxine+Cyanocobalamin+Folic acid+Biotin+Calcium+Magnesium+Zinc
A11JC	Teised vitamiinide kombinatsioonid	Vitamins, other combinations
A11JC80	tiamiin+kaltsiumpantotenaat+tsüstiin+keratiin+meditsiiniline pärm+4-aminobensoehape	Thiamine+Calcium pantothenate+Cystine+Keratin+Medicinal yeast+4-aminobenzoic acid
A11JC81	tiamiin+tokoferool+nikotiinamiid+riboflaviin+lüsiin+dekspantenool+kaltsium+kolekaltsiferool+püridoksiin+fosfor	Thiamine+Tocopherol+Nicotinamide+Riboflavin+Lysine+Dexpanthenol+Calcium+Colecalciferol+Pyridoxine+Phosphorus
A12	MINERAALSED LISANDID	MINERAL SUPPLEMENTS
A12A	KALTSIUM	CALCIUM
A12AA	Kaltsium	Calcium
A12AA02	kaltsiumglubionaat	Calcium glubionate
A12AA03	kaltsiumglükonaat	Calcium gluconate
A12AA04	kaltsiumkarbonaat	Calcium carbonate
A12AA05	kaltsiumlaktaat	Calcium lactate
A12AA07	kaltsiumkloriid	Calcium chloride
A12AA08	kaltsiumglütserofosfaat	Calcium glycerophosphate
A12AA10	kaltsiumglükoheptonaat	Calcium glucoheptonate
A12AA11	kaltsiumpangamaat	Calcium pangamate
A12AA12	kaltsiumatsetaat	Calcium acetate
A12AA80	Calcium gluconolactobionicum	Calcium gluconolactobionicum
A12AX	Kaltsiumi kombinatsioonid vitamiin D ja/või teiste ainetega	Calcium, combinations with vitamin D and/or other drugs
A12AX80	kaltsium+kolekaltsiferool	Calcium+Colecalciferol
A12B	KAALIUM	POTASSIUM
A12BA	Kaalium	Potassium
A12BA01	kaaliumkloriid	Potassium chloride
A12BA80	kaaliumkloriid+kaaliumvesinikkarbonaat	Potassium chloride+Potassium hydrogen carbonate
A12C	TEISED MINERAALSED LISANDID	OTHER MINERAL SUPPLEMENTS
A12CA	Naatrium	Sodium
A12CA01	naatriumkloriid	Sodium chloride
A12CA02	naatriumsulfaat, veevaba	Sodium sulphate, anhydrous
A12CB	Tsink	Zinc
A12CB01	tsinksulfaat	Zinc sulphate
A12CB80	tsinklaktaat+tokoferool+askorbiinhape+beetakaroteen+naatriumselenaat	Zinc lactate+Tocopherol+Ascorbic acid+Betacarotene+Sodium selenate
A12CC	Magneesium	Magnesium
A12CC01	magneesiumkloriid	Magnesium chloride
A12CC02	magneesiumsulfaat	Magnesium sulphate
A12CC04	magneesiumtsitraat	Magnesium citrate
A12CC05	magneesiumaspartaat	Magnesium aspartate
A12CC06	magneesiumlaktaat	Magnesium lactate
A12CC09	magneesiumorotaat	Magnesium orotate
A12CC80	magneesiumlaktaat+magneesiumtsitraat	Magnesium lactate+Magnesium citrate
A12CD	Fluor	Fluoride
A12CD01	naatriumfluoriid	Sodium fluoride
A12CD80	naatriumfluoriid+tinafluoriid	Sodium fluoride+Stannous fluorid
A12CE	Seleen	Selenium
A12CE01	naatriumselenaat	Sodium selenate
A12CX	Teised mineraalained	Other mineral products
A12CX80	magneesiumaspartaat+kaaliumaspartaat	Magnesium aspartate+Potassium aspartate
A12CX81	alumiiniumklorohüdraat	Aluminium chlorohydrate
A12CX83	fosfaadid	Phosphate
A13	TOONIKUMID	TONICS
A13A	TOONIKUMID	TONICS
A13AA	Toonikumid	Tonics
A14	ANABOOLSED AINED SÜSTEEMSEKS KASUTAMISEKS	ANABOLIC AGENTS FOR SYSTEMIC USE
A14A	ANABOOLSED STEROIDID	ANABOLIC STEROIDS
A14AA	Androstaani derivaadid	Androstan derivatives
A14AA01	androstanoloon	Androstanolone
A14AA02	stanosolool	Stanozolol
A14AA03	metandienoon	Metandienone
A14AA04	metenoloon	Metenolone
A14AA05	oksümetoloon	Oxymetholone
A14AA06	kvinboloon	Quinbolone
A14AA07	prasteroon	Prasterone
A14AA08	oksandroloon	Oxandrolone
A14AA09	noretandroloon	Norethandrolone
A14AB	Östreeni derivaadid	Estren derivatives
A14AB01	nandroloon	Nandrolone
A14AB02	etüülestrenool	Ethylestrenol
A14AB03	oksaboloontsipionaat	Oxabolone cipionate
A14B	TEISED ANABOOLSED AINED	OTHER ANABOLIC AGENTS
A14BX	Teised anaboolsed ained	Other anabolic agents
A14BX80	riboksiin	Riboxine
A15	SÖÖGIISU STIMULEERIVAD AINED	APPETITE STIMULANTS
A15A	SÖÖGIISU STIMULEERIVAD AINED	APPETITE STIMULANTS
A15AA	Söögiisu stimuleerivad ained	Appetite stimulants
A16	TEISED SEEDEKULGLAT JA AINEVAHETUST MÕJUTAVAD AINED	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16A	TEISED SEEDEKULGLAT JA AINEVAHETUST MÕJUTAVAD AINED	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AA	Aminohapped ja nende derivaadid	Amino acids and derivatives
A16AA01	levokarnitiin	Levocarnitine
A16AA02	ademetioniin	Ademetionine
A16AA03	glutamiin	Glutamine
A16AA04	merkaptamiin	Mercaptamine
A16AA05	kargluumhape	Carglumic acid
A16AA06	betaiin	Betaine
A16AB	Ensüümid	Enzymes
A16AB01	alglütseraas	Alglucerase
A16AB02	imiglütseraas	Imiglucerase
A16AB03	alfaagalsidaas	Agalsidase alfa
A16AB04	beetaagalsidaas	Agalsidase beta
A16AB05	laronidaas	Laronidase
A16AB07	alfaalglükosidaas	Alglucosidase alfa
A16AB08	galsulfaas	Galsulfase
A16AB09	idursulfaas	Idursulfase
A16AB10	alfavelaglütseraas	Velaglucerase alfa
A16AX	Erinevad seedekulglat ja ainevahetust mõjutavad ained	Various alimentary tract and metabolism products
A16AX01	tiokthape (alfa-lipoehape)	Thioctic acid
A16AX02	anetooltritioon	Anethole trithione
A16AX03	naatriumfenüülbutüraat	Sodium phenylbutyrate
A16AX04	nitisinoon	Nitisinone
A16AX05	tsinkatsetaatdihüdraat	Zinc acetate dihydrate
A16AX06	miglustaat	Miglustat
A16AX07	sapropteriin	Sapropterin
A16AX08	teduglutiid	teduglutide
B	VERI JA VERELOOMEORGANID	BLOOD AND BLOOD FORMING ORGANS
B01	TROMBOOSIVASTASED AINED	ANTITHROMBOTIC AGENTS
B01A	TROMBOOSIVASTASED AINED	ANTITHROMBOTIC AGENTS
B01AA	Vitamiin K antagonistid	Vitamin K antagonists
B01AA01	dikumarool	Dicoumarol
B01AA02	fenindioon	Phenindione
B01AA03	varfariin	Warfarin
B01AA04	fenprokumoon	Phenprocoumon
B01AA07	atsenokumarool	Acenocoumarol
B01AA08	etüülbiskumatsetaat	Ethyl biscoumacetate
B01AA09	klorindioon	Clorindione
B01AA10	difenadioon	Diphenadione
B01AA11	tioklomarool	Tioclomarol
B01AB	Hepariini rühm	Heparin group
B01AB01	naatriumhepariin	Heparin sodium
B01AB02	antitrombiin III	Antithrombin III
B01AB04	naatriumdaltepariin	Dalteparin sodium
B01AB05	naatriumenoksapariin	Enoxaparin sodium
B01AB06	kaltsiumnadropariin	Nadroparin calcium
B01AB07	naatriumparnapariin	Parnaparin sodium
B01AB08	naatriumrevipariin	Reviparin sodium
B01AB09	naatriumdanaparoid	Danaparoid sodium
B01AB10	naatriumtinsapariin	Tinzaparin sodium
B01AB11	sulodeksiid	Sulodexide
B01AB12	naatriumbemipariin	Bemiparin sodium
B01AB80	naatriumtsertopariin	Certoparin sodium
B01AC	Trombotsüütide agregatsiooni inhibiitorid, v.a hepariin	Platelet aggregation inhibitors, excl. heparin
B01AC01	ditasool	Ditazole
B01AC02	klorikromeen	Cloricromen
B01AC04	klopidogreel	Clopidogrel
B01AC05	tiklopidiin	Ticlopidine
B01AC06	atsetüülsalitsüülhape	Acetylsalicylic acid 
B01AC07	dipüridamool	Dipyridamole
B01AC08	kaltsiumkarbasalaat	Carbasalate calcium
B01AC09	epoprostenool	Epoprostenol
B01AC10	indobufeen	Indobufen
B01AC11	iloprost	Iloprost
B01AC13	abtsiksimab	Abciximab
B01AC15	aloksipriin	Aloxiprin
B01AC16	eptifibatiid	Eptifibatide
B01AC17	tirofibaan	Tirofiban
B01AC18	triflusaal	Triflusal
B01AC21	treprostiniil	Treprostinil
B01AC22	prasugreel	Prasugrel
B01AC23	tsilostasool	Cilostazol
B01AC24	tikagreloor	Ticagrelor
B01AC80	atsetüülsalitsüülhape+magneesiumoksiid	Acetylsalicylic acid +Magnesium oxide
B01AC82	atsetüülsalitsüülhape+dipüridamool	Acetylsalicylic acid +Dipyridamole
B01AC83	klopidogreel+atsetüülsalitsüülhape	Clopidogrel+Acetylsalicylic acid 
B01AC84	atsetüülsalitsüülhape+esomeprasool	Acetylsalicylic acid +Esomeprazole
B01AD	Ensüümid	Enzymes
B01AD01	streptokinaas	Streptokinase
B01AD02	alteplaas	Alteplase
B01AD03	anistreplaas	Anistreplase
B01AD04	urokinaas	Urokinase
B01AD05	fibrinolüsiin (humaan)	Fibrinolysin (human)
B01AD06	brinaas	Brinase
B01AD07	reteplaas	Reteplase
B01AD08	saruplaas	Saruplase
B01AD10	alfa-drotrekogiin	Drotrecogin alfa (activated)
B01AD11	tenekteplaas	Tenecteplase
B01AD12	proteiin C	Protein C
B01AE	Otsesed trombiini inhibiitorid	Direct thrombin inhibitors
B01AE01	desirudiin	Desirudin
B01AE02	lepirudiin	Lepirudin
B01AE06	bivalirudiin	Bivalirudine
B01AE07	dabigatraaneteksilaat	Dabigatran etexilate
B01AF	Otsesed Xa faktori inhibiitorid	Direct factor Xa inhibitors
B01AF01	rivaroksabaan	Rivaroxaban
B01AF02	apiksabaan	Apixaban
B01AX	Teised tromboosivastased ained	Other antithrombotic agents
B01AX01	defibrotiid	Defibrotide
B01AX05	naatriumfondapariinuks	Fondaparinux sodium
B02	VEREJOOKSU TÕKESTAVAD AINED	ANTIHEMORRHAGICS
B02A	ANTIFIBRINOLÜÜTILISED AINED	ANTIFIBRINOLYTICS
B02AA	Aminohapped	Amino acids
B02AA01	aminokaproonhape	Aminocaproic acid
B02AA02	traneksaamhape	Tranexamic acid
B02AA03	aminometüülbensoehape	Aminomethylbenzoic acid
B02AB	Proteinaasi inhibiitorid	Proteinase inhibitors
B02AB01	aprotiniin	Aprotinin
B02AB02	alfa-1-antitrüpsiin	Alfa 1 antitrypsin
B02AB04	kamostaat	Camostat
B02B	VITAMIIN K JA TEISED HEMOSTAATILISED AINED	VITAMIN K AND OTHER HEMOSTATICS
B02BA	Vitamiin K	Vitamin K
B02BA01	fütomenadioon	Phytomenadione
B02BA02	menadioonnaatriumbisulfit	Menadione sodium bisulfite
B02BB	Fibrinogeen	Fibrinogen
B02BB01	fibrinogeen	Fibrinogen
B02BC	Lokaalsed hemostaatilised ained	Local hemostatics
B02BC01	želatiin	Gelatine
B02BC05	adrenaloon	Adrenalone
B02BC06	trombiin	Thrombin
B02BC07	kollageen	Collagen
B02BC09	epinefriin (adrenaliin)	Epinephrine
B02BC10	fibrinogeen	Fibrinogen
B02BC80	hobuse kõõluse kollageen+veise trombiin+veise aprotiniin+fibrinogeen	Collagen from horse tendons+Bovine thrombin+Bovine aprotinin+Fibrinogen
B02BC81	humaanfibrinogeen+trombiin	Fibrinogen human+Thrombin
B02BD	Vere hüübimisfaktorid	Blood coagulation factors
B02BD01	inimese protrombiinkompleks	Human prothrombin complex
B02BD02	VIII hüübimisfaktor	Human coagulation factor VIII
B02BD03	faktor VIII inhibiitorist möödamineva aktiivsusega hüübimisfaktorid	Factor VIII inhibitor bypassing activity
B02BD04	IX hüübimisfaktor	Human coagulation factor IX
B02BD05	VII hüübimisfaktor	Human coagulation factor VII
B02BD06	von Willebrand'i faktor+VIII hüübimisfaktor	Von Willebrand factor, human+Human coagulation factor VIII
B02BD08	alfaeptakog, aktiveeritud	Eptacog alfa (activated)
B02BD09	alfanonakog	Nonacog alfa
B02BD10	von Willebrand'i faktor	Von Willebrand factor, human
B02BD11	katridekakog	Catridecacog
B02BD30	trombiin	Thrombin
B02BX	Teised süsteemsed hemostaatilised ained	Other systemic hemostatics
B02BX01	etamsülaat	Etamsylate
B02BX02	karbasokroom	Carbazochrome
B02BX03	batroksobiin	Batroxobin
B02BX04	romiplostiim	Romiplostim
B02BX05	eltrombopaag	Eltrombopag
B03	ANEEMIAVASTASED PREPARAADID	ANTIANEMIC PREPARATIONS
B03A	RAUAPREPARAADID	IRON PREPARATIONS
B03AA	Raud(II), suukaudsed preparaadid	Iron bivalent, oral preparations
B03AA02	raud(II)fumaraat	Ferrous fumarate
B03AA03	raud(II)glükonaat	Ferrous gluconate
B03AA07	raud(II)sulfaat	Ferrous sulphate
B03AA09	raud(II)aspartaat	Ferrous aspartate
B03AA80	raud(II)sulfaat+askorbiinhape	Ferrous sulphate+Ascorbic acid
B03AB	Raud(III), suukaudsed preparaadid	Iron trivalent, oral preparations
B03AB03	naatriumraud(III)edetaat	Sodium feredetate
B03AB04	raud(III)hüdroksiid	Ferric hydroxide
B03AB05	dekstriferroon	Dextriferron
B03AB80	raud(III)hüdroksiid-polümaltoos kompleks	Iron (III) hydroxide polymaltose complex
B03AC	Raud(III), parenteraalsed preparaadid	Iron trivalent, parenteral preparations
B03AC01	dekstriferroon	Dextriferron
B03AC02	raud(III)hüdroksiid-sahharoos kompleks	Iron (III) hydroxide sucrose complex
B03AC06	raud(III)hüdroksiidi ja dekstraani kompleks	Iron (III)-hydroxide dextran complex
B03AC07	raud(III)naatriumglükonaatkompleks	Ferric sodium gluconate complex
B03AC80	raud(III)isomaltosiid 1000 kompleks	Iron (III) isomaltoside 1000 complex
B03AC81	ferumoksütool	Ferumoxytol
B03AD	Raua kombinatsioonid foolhappega	Iron in combination with folic acid
B03AD02	raud(II)fumaraat+foolhape	Ferrous fumarate+Folic acid
B03AD03	raud(II)sulfaat+foolhape	Ferrous sulphate+Folic acid
B03AE	Teised raua kombinatsioonid	Iron in other combinations
B03AE01	raud(III)+foolhape+tsüanokobalamiin	Iron III+Folic acid+Cyanocobalamin
B03AE80	ütrium(90Y)raud(III)hüdroksiid, kolloidne+askorbiinhape+foolhape+tsüanokobalamiin	Yttrium (90Y) ferrihydroxide colloid+Ascorbic acid+Folic acid+Cyanocobalamin
B03AE81	raud(II)glükonaat+vaskglükonaat+mangaanglükonaat	Ferrous gluconate+Copper gluconate+Manganese gluconate
B03B	VITAMIIN B12 JA FOOLHAPE	VITAMIN B12 AND FOLIC ACID
B03BA	Vitamiin B12 (tsüanokobalamiin ja selle analoogid)	Vitamin B12 (cyanocobalamin and analogues)
B03BA01	tsüanokobalamiin	Cyanocobalamin
B03BA03	hüdroksükobalamiin	Hydroxocobalamin
B03BA04	kobamamiid	Cobamamide
B03BB	Foolhape ja selle derivaadid	Folic acid and derivatives
B03BB01	foolhape	Folic acid
B03X	TEISED ANEEMIAVASTASED PREPARAADID	OTHER ANTIANEMIC PREPARATIONS
B03XA	Teised aneemiavastased preparaadid	Other antianemic preparations
B03XA01	alfaepoetiin	Epoetin alfa
B03XA02	alfadarbepoetiin	Darbepoetin alfa
B03XA03	metoksüpolüetüleenglükool-beetaepoetiin	Methoxy polyethylene glycol-epoetin beta
B03XA80	beetaepoetiin	Epoetin beta
B03XA81	deltaepoetiin	Epoetin delta
B03XA82	dzeetaepoetiin	Epoetin zeta
B03XA83	teetaepoetiin	Epoetin theta
B05	VEREASENDAJAD JA PERFUSIOONILAHUSED	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS
B05A	VERI JA VEREPREPARAADID	BLOOD AND RELATED PRODUCTS
B05AA	Vereasendajad ja plasmavalgu fraktsioonid	Blood substitutes and plasma protein fractions
B05AA01	albumiin	Albumin
B05AA05	dekstraan	Dextran
B05AA06	želatiiniühendid	Gelatin agents
B05AA80	hüdroksüetüültärklis+naatriumkloriid	Hydroxyethyl starch+Sodium chloride
B05AA81	dekstraan+naatriumkloriid	Dextran+Sodium chloride
B05AA82	hüdroksüetüültärklis+naatriumatsetaattrihüdraat+naatriumkloriid+kaaliumkloriid+magneesiumkloriid	Hydroxyethyl starch+Sodium acetate trihydrate+Sodium chloride+Potassium chloride+Magnesium chloride
B05AA83	želatiin+naatriumkloriid+kaaliumkloriid+magneesiumkloriid+naatriumlaktaat	Gelatine+Sodium chloride+Potassium chloride+Magnesium chloride+Sodium lactate
B05AA84	hüdroksüetüültärklis+naatriumkloriid+kaaliumkloriid+kaltsiumkloriiddihüdraat+magneesiumkloriid+naatriumatsetaattrihüdraat+õunhape	Hydroxyethyl starch+Sodium chloride+Potassium chloride+Calcium chloride dihydrate+Magnesium chloride+Sodium acetate trihydrate+Malic acid
B05AA85	hüdroksüetüültärklis+naatriumkloriid+kaaliumkloriid+kaltsiumkloriiddihüdraat+magneesiumkloriid+naatriumatsetaattrihüdraat	Hydroxyethyl starch+Sodium chloride+Potassium chloride+Calcium chloride dihydrate+Magnesium chloride+Sodium acetate trihydrate
